"_STATUS","Position","_PREV_Position","Vehicle Name","Vehicle Type","Availability","Engine Type","Transmission","Power","Color","Mileage","Registration Date","Monthly Rate","Vehicle Price","Down Payment","Loan Amount","Final Payment","Annual Interest Rate","CO2 Emissions","Details Link","Vehicle Image","_PREV_Vehicle Name","_PREV_Vehicle Type","_PREV_Availability","_PREV_Engine Type","_PREV_Transmission","_PREV_Power","_PREV_Color","_PREV_Mileage","_PREV_Registration Date","_PREV_Monthly Rate","_PREV_Vehicle Price","_PREV_Down Payment","_PREV_Loan Amount","_PREV_Final Payment","_PREV_Annual Interest Rate","_PREV_CO2 Emissions","_PREV_Details Link","_PREV_Vehicle Image"
"CHANGED",1,3,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Tageszulassung","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Cyber Sage","10 Km","01/2025","588 €","49.880 €","9.976 €","39.904 €","24.940 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375e3fe9b9ca11225e9e61","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,2,,,,,,,,,,,,,,,,,,,"Jeep COMPASS 1,3 PHEV S Plug-In Hybrid 4WD Automatik","Gebrauchtfahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","177 kW (241 Ps)","Schwarz / Black Clear Coat","48.600 Km","04/2022","232 €","24.990 €","4.998 €","19.992 €","14.994 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67ceb7af1e682b2fa5180a85","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/670e5e9a5a784adcc2a59188/cb56f10f19fdf4dcea5b7102558ba8c2f4_ori_small.jpg"
"CHANGED",2,4,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Tageszulassung","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Magnetic Grey","10 Km","01/2025","588 €","49.880 €","9.976 €","39.904 €","24.940 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375da3e9b9ca11225dfa1c","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/b2e6496cfd10c52cc9934ed9cf1693d4f_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",3,13,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Cyber Sage",,,"441 €","50.990 €","10.198 €","40.792 €","31.820 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375d17e9b9ca11225cadf1","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",4,14,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Cyber Sage",,,"441 €","50.990 €","10.198 €","40.792 €","31.820 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375cf7e9b9ca11225c0d6d","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",5,12,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Schwarz / Abyss Black",,,"420 €","49.990 €","9.998 €","39.992 €","31.720 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375c9ae9b9ca11225accb0","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",6,5,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Cyber Sage",,,"441 €","50.990 €","10.198 €","40.792 €","31.820 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375c4ce9b9ca1122598e66","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",7,6,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Schwarz / Abyss Black",,,"420 €","49.990 €","9.998 €","39.992 €","31.720 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375c18e9b9ca112258efd7","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",8,11,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Magnetic Grey",,,"420 €","49.990 €","9.998 €","39.992 €","31.720 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375bcae9b9ca112258512e","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/b2e6496cfd10c52cc9934ed9cf1693d4f_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",9,10,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Schwarz / Abyss Black",,,"420 €","49.990 €","9.998 €","39.992 €","31.720 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375b9ce9b9ca112257b30c","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg",,,,,,,,,,,,,,,,,,
