Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW 840i Cabriolet - Option ('24', '5000')","116.000,00 €",24 Monate,"23.200,00 €","1.563,38 €",5.000 km,"60.721,12 €"
"BMW 840i Cabriolet - Option ('24', '10000')","116.000,00 €",24 Monate,"23.200,00 €","1.609,01 €",10.000 km,"61.816,24 €"
"BMW 840i Cabriolet - Option ('24', '15000')","116.000,00 €",24 Monate,"23.200,00 €","1.654,64 €",15.000 km,"62.911,36 €"
"BMW 840i Cabriolet - Option ('24', '20000')","116.000,00 €",24 Monate,"23.200,00 €","1.700,27 €",20.000 km,"64.006,48 €"
"BMW 840i Cabriolet - Option ('24', '25000')","116.000,00 €",24 Monate,"23.200,00 €","1.745,90 €",25.000 km,"65.101,60 €"
"BMW 840i Cabriolet - Option ('24', '30000')","116.000,00 €",24 Monate,"23.200,00 €","1.837,16 €",30.000 km,"67.291,84 €"
"BMW 840i Cabriolet - Option ('24', '35000')","116.000,00 €",24 Monate,"23.200,00 €","1.928,42 €",35.000 km,"69.482,08 €"
"BMW 840i Cabriolet - Option ('24', '40000')","116.000,00 €",24 Monate,"23.200,00 €","1.974,05 €",40.000 km,"70.577,20 €"
"BMW 840i Cabriolet - Option ('24', '45000')","116.000,00 €",24 Monate,"23.200,00 €","2.110,94 €",45.000 km,"73.862,56 €"
"BMW 840i Cabriolet - Option ('24', '50000')","116.000,00 €",24 Monate,"23.200,00 €","2.247,83 €",50.000 km,"77.147,92 €"
"BMW 840i Cabriolet - Option ('24', '55000')","116.000,00 €",24 Monate,"23.200,00 €","2.339,09 €",55.000 km,"79.338,16 €"
"BMW 840i Cabriolet - Option ('24', '60000')","116.000,00 €",24 Monate,"23.200,00 €","2.430,35 €",60.000 km,"81.528,40 €"
"BMW 840i Cabriolet - Option ('24', '65000')","116.000,00 €",24 Monate,"23.200,00 €","2.521,61 €",65.000 km,"83.718,64 €"
"BMW 840i Cabriolet - Option ('24', '70000')","116.000,00 €",24 Monate,"23.200,00 €","2.567,24 €",70.000 km,"84.813,76 €"
"BMW 840i Cabriolet - Option ('24', '75000')","116.000,00 €",24 Monate,"23.200,00 €","2.658,50 €",75.000 km,"87.004,00 €"
"BMW 840i Cabriolet - Option ('24', '80000')","116.000,00 €",24 Monate,"23.200,00 €","2.704,13 €",80.000 km,"88.099,12 €"
"BMW 840i Cabriolet - Option ('27', '5000')","116.000,00 €",27 Monate,"23.200,00 €","1.469,85 €",5.000 km,"62.885,95 €"
"BMW 840i Cabriolet - Option ('27', '10000')","116.000,00 €",27 Monate,"23.200,00 €","1.550,41 €",10.000 km,"65.061,07 €"
"BMW 840i Cabriolet - Option ('27', '15000')","116.000,00 €",27 Monate,"23.200,00 €","1.590,69 €",15.000 km,"66.148,63 €"
"BMW 840i Cabriolet - Option ('27', '20000')","116.000,00 €",27 Monate,"23.200,00 €","1.630,96 €",20.000 km,"67.235,92 €"
"BMW 840i Cabriolet - Option ('27', '25000')","116.000,00 €",27 Monate,"23.200,00 €","1.671,24 €",25.000 km,"68.323,48 €"
"BMW 840i Cabriolet - Option ('27', '30000')","116.000,00 €",27 Monate,"23.200,00 €","1.751,80 €",30.000 km,"70.498,60 €"
"BMW 840i Cabriolet - Option ('27', '35000')","116.000,00 €",27 Monate,"23.200,00 €","1.832,35 €",35.000 km,"72.673,45 €"
"BMW 840i Cabriolet - Option ('27', '40000')","116.000,00 €",27 Monate,"23.200,00 €","1.912,91 €",40.000 km,"74.848,57 €"
"BMW 840i Cabriolet - Option ('27', '45000')","116.000,00 €",27 Monate,"23.200,00 €","2.074,02 €",45.000 km,"79.198,54 €"
"BMW 840i Cabriolet - Option ('27', '50000')","116.000,00 €",27 Monate,"23.200,00 €","2.154,58 €",50.000 km,"81.373,66 €"
"BMW 840i Cabriolet - Option ('27', '55000')","116.000,00 €",27 Monate,"23.200,00 €","2.235,13 €",55.000 km,"83.548,51 €"
"BMW 840i Cabriolet - Option ('27', '60000')","116.000,00 €",27 Monate,"23.200,00 €","2.315,69 €",60.000 km,"85.723,63 €"
"BMW 840i Cabriolet - Option ('27', '65000')","116.000,00 €",27 Monate,"23.200,00 €","2.396,24 €",65.000 km,"87.898,48 €"
"BMW 840i Cabriolet - Option ('27', '70000')","116.000,00 €",27 Monate,"23.200,00 €","2.436,52 €",70.000 km,"88.986,04 €"
"BMW 840i Cabriolet - Option ('27', '75000')","116.000,00 €",27 Monate,"23.200,00 €","2.517,08 €",75.000 km,"91.161,16 €"
"BMW 840i Cabriolet - Option ('27', '80000')","116.000,00 €",27 Monate,"23.200,00 €","2.557,35 €",80.000 km,"92.248,45 €"
"BMW 840i Cabriolet - Option ('30', '5000')","116.000,00 €",30 Monate,"23.200,00 €","1.430,55 €",5.000 km,"66.116,50 €"
"BMW 840i Cabriolet - Option ('30', '10000')","116.000,00 €",30 Monate,"23.200,00 €","1.466,55 €",10.000 km,"67.196,50 €"
"BMW 840i Cabriolet - Option ('30', '15000')","116.000,00 €",30 Monate,"23.200,00 €","1.502,55 €",15.000 km,"68.276,50 €"
"BMW 840i Cabriolet - Option ('30', '20000')","116.000,00 €",30 Monate,"23.200,00 €","1.538,55 €",20.000 km,"69.356,50 €"
"BMW 840i Cabriolet - Option ('30', '25000')","116.000,00 €",30 Monate,"23.200,00 €","1.610,54 €",25.000 km,"71.516,20 €"
"BMW 840i Cabriolet - Option ('30', '30000')","116.000,00 €",30 Monate,"23.200,00 €","1.682,54 €",30.000 km,"73.676,20 €"
"BMW 840i Cabriolet - Option ('30', '35000')","116.000,00 €",30 Monate,"23.200,00 €","1.754,53 €",35.000 km,"75.835,90 €"
"BMW 840i Cabriolet - Option ('30', '40000')","116.000,00 €",30 Monate,"23.200,00 €","1.898,52 €",40.000 km,"80.155,60 €"
"BMW 840i Cabriolet - Option ('30', '45000')","116.000,00 €",30 Monate,"23.200,00 €","2.006,51 €",45.000 km,"83.395,30 €"
"BMW 840i Cabriolet - Option ('30', '50000')","116.000,00 €",30 Monate,"23.200,00 €","2.078,51 €",50.000 km,"85.555,30 €"
"BMW 840i Cabriolet - Option ('30', '55000')","116.000,00 €",30 Monate,"23.200,00 €","2.150,50 €",55.000 km,"87.715,00 €"
"BMW 840i Cabriolet - Option ('30', '60000')","116.000,00 €",30 Monate,"23.200,00 €","2.222,50 €",60.000 km,"89.875,00 €"
"BMW 840i Cabriolet - Option ('30', '65000')","116.000,00 €",30 Monate,"23.200,00 €","2.294,49 €",65.000 km,"92.034,70 €"
"BMW 840i Cabriolet - Option ('30', '70000')","116.000,00 €",30 Monate,"23.200,00 €","2.330,49 €",70.000 km,"93.114,70 €"
"BMW 840i Cabriolet - Option ('30', '75000')","116.000,00 €",30 Monate,"23.200,00 €","2.402,48 €",75.000 km,"95.274,40 €"
"BMW 840i Cabriolet - Option ('30', '80000')","116.000,00 €",30 Monate,"23.200,00 €","2.438,48 €",80.000 km,"96.354,40 €"
"BMW 840i Cabriolet - Option ('33', '5000')","116.000,00 €",33 Monate,"23.200,00 €","1.365,02 €",5.000 km,"68.245,66 €"
"BMW 840i Cabriolet - Option ('33', '10000')","116.000,00 €",33 Monate,"23.200,00 €","1.430,01 €",10.000 km,"70.390,33 €"
"BMW 840i Cabriolet - Option ('33', '15000')","116.000,00 €",33 Monate,"23.200,00 €","1.462,51 €",15.000 km,"71.462,83 €"
"BMW 840i Cabriolet - Option ('33', '20000')","116.000,00 €",33 Monate,"23.200,00 €","1.495,00 €",20.000 km,"72.535,00 €"
"BMW 840i Cabriolet - Option ('33', '25000')","116.000,00 €",33 Monate,"23.200,00 €","1.560,00 €",25.000 km,"74.680,00 €"
"BMW 840i Cabriolet - Option ('33', '30000')","116.000,00 €",33 Monate,"23.200,00 €","1.624,99 €",30.000 km,"76.824,67 €"
"BMW 840i Cabriolet - Option ('33', '35000')","116.000,00 €",33 Monate,"23.200,00 €","1.722,48 €",35.000 km,"80.041,84 €"
"BMW 840i Cabriolet - Option ('33', '40000')","116.000,00 €",33 Monate,"23.200,00 €","1.819,97 €",40.000 km,"83.259,01 €"
"BMW 840i Cabriolet - Option ('33', '45000')","116.000,00 €",33 Monate,"23.200,00 €","1.917,46 €",45.000 km,"86.476,18 €"
"BMW 840i Cabriolet - Option ('33', '50000')","116.000,00 €",33 Monate,"23.200,00 €","1.982,45 €",50.000 km,"88.620,85 €"
"BMW 840i Cabriolet - Option ('33', '55000')","116.000,00 €",33 Monate,"23.200,00 €","2.047,44 €",55.000 km,"90.765,52 €"
