Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '5000')","73.710,00 €",24 Monate,"17.844,71 €","735,93 €",5.000 km,"35.507,03 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '10000')","73.710,00 €",24 Monate,"17.844,71 €","794,00 €",10.000 km,"36.900,71 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '15000')","73.710,00 €",24 Monate,"17.844,71 €","823,03 €",15.000 km,"37.597,43 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '20000')","73.710,00 €",24 Monate,"17.844,71 €","852,07 €",20.000 km,"38.294,39 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '25000')","73.710,00 €",24 Monate,"17.844,71 €","910,14 €",25.000 km,"39.688,07 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '30000')","73.710,00 €",24 Monate,"17.844,71 €","997,24 €",30.000 km,"41.778,47 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '35000')","73.710,00 €",24 Monate,"17.844,71 €","1.084,34 €",35.000 km,"43.868,87 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '40000')","73.710,00 €",24 Monate,"17.844,71 €","1.142,41 €",40.000 km,"45.262,55 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '45000')","73.710,00 €",24 Monate,"17.844,71 €","1.258,55 €",45.000 km,"48.049,91 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '50000')","73.710,00 €",24 Monate,"17.844,71 €","1.374,69 €",50.000 km,"50.837,27 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '55000')","73.710,00 €",24 Monate,"17.844,71 €","1.432,76 €",55.000 km,"52.230,95 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '60000')","73.710,00 €",24 Monate,"17.844,71 €","1.490,83 €",60.000 km,"53.624,63 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '65000')","73.710,00 €",24 Monate,"17.844,71 €","1.548,90 €",65.000 km,"55.018,31 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '70000')","73.710,00 €",24 Monate,"17.844,71 €","1.606,97 €",70.000 km,"56.411,99 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '75000')","73.710,00 €",24 Monate,"17.844,71 €","1.665,03 €",75.000 km,"57.805,43 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('24', '80000')","73.710,00 €",24 Monate,"17.844,71 €","1.694,07 €",80.000 km,"58.502,39 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('27', '5000')","73.710,00 €",27 Monate,"17.844,71 €","689,38 €",5.000 km,"36.457,97 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('27', '10000')","73.710,00 €",27 Monate,"17.844,71 €","740,87 €",10.000 km,"37.848,20 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('27', '15000')","73.710,00 €",27 Monate,"17.844,71 €","792,36 €",15.000 km,"39.238,43 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('27', '20000')","73.710,00 €",27 Monate,"17.844,71 €","818,11 €",20.000 km,"39.933,68 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('27', '25000')","73.710,00 €",27 Monate,"17.844,71 €","869,60 €",25.000 km,"41.323,91 €"
"BMW i4 M50 xDrive Gran Coupé - Option ('27', '30000')","73.710,00 €",27 Monate,"17.844,71 €","946,83 €",30.000 km,"43.409,12 €"
