Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW iX xDrive45 - Option ('24', '5000')","84.570,00 €",24 Monate,"14.983,02 €","964,98 €",5.000 km,"38.142,54 €"
"BMW iX xDrive45 - Option ('24', '10000')","84.570,00 €",24 Monate,"14.983,02 €","1.031,89 €",10.000 km,"39.748,38 €"
"BMW iX xDrive45 - Option ('24', '15000')","84.570,00 €",24 Monate,"14.983,02 €","1.065,34 €",15.000 km,"40.551,18 €"
"BMW iX xDrive45 - Option ('24', '20000')","84.570,00 €",24 Monate,"14.983,02 €","1.098,79 €",20.000 km,"41.353,98 €"
"BMW iX xDrive45 - Option ('24', '25000')","84.570,00 €",24 Monate,"14.983,02 €","1.132,25 €",25.000 km,"42.157,02 €"
"BMW iX xDrive45 - Option ('24', '30000')","84.570,00 €",24 Monate,"14.983,02 €","1.199,15 €",30.000 km,"43.762,62 €"
"BMW iX xDrive45 - Option ('24', '35000')","84.570,00 €",24 Monate,"14.983,02 €","1.266,06 €",35.000 km,"45.368,46 €"
"BMW iX xDrive45 - Option ('24', '40000')","84.570,00 €",24 Monate,"14.983,02 €","1.332,96 €",40.000 km,"46.974,06 €"
"BMW iX xDrive45 - Option ('24', '45000')","84.570,00 €",24 Monate,"14.983,02 €","1.433,32 €",45.000 km,"49.382,70 €"
"BMW iX xDrive45 - Option ('24', '50000')","84.570,00 €",24 Monate,"14.983,02 €","1.533,68 €",50.000 km,"51.791,34 €"
"BMW iX xDrive45 - Option ('24', '55000')","84.570,00 €",24 Monate,"14.983,02 €","1.600,59 €",55.000 km,"53.397,18 €"
"BMW iX xDrive45 - Option ('24', '60000')","84.570,00 €",24 Monate,"14.983,02 €","1.667,49 €",60.000 km,"55.002,78 €"
"BMW iX xDrive45 - Option ('24', '65000')","84.570,00 €",24 Monate,"14.983,02 €","1.734,40 €",65.000 km,"56.608,62 €"
"BMW iX xDrive45 - Option ('24', '70000')","84.570,00 €",24 Monate,"14.983,02 €","1.767,85 €",70.000 km,"57.411,42 €"
