Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"i5 eDrive40 Limousine - Option ('24', '5000')","72.020,00 €",24 Monate,"17.833,51 €","579,92 €",5.000 km,"31.751,59 €"
"i5 eDrive40 Limousine - Option ('24', '10000')","72.020,00 €",24 Monate,"17.833,51 €","636,78 €",10.000 km,"33.116,23 €"
"i5 eDrive40 Limousine - Option ('24', '15000')","72.020,00 €",24 Monate,"17.833,51 €","665,20 €",15.000 km,"33.798,31 €"
"i5 eDrive40 Limousine - Option ('24', '20000')","72.020,00 €",24 Monate,"17.833,51 €","693,63 €",20.000 km,"34.480,63 €"
"i5 eDrive40 Limousine - Option ('24', '25000')","72.020,00 €",24 Monate,"17.833,51 €","722,06 €",25.000 km,"35.162,95 €"
"i5 eDrive40 Limousine - Option ('24', '30000')","72.020,00 €",24 Monate,"17.833,51 €","778,92 €",30.000 km,"36.527,59 €"
"i5 eDrive40 Limousine - Option ('24', '35000')","72.020,00 €",24 Monate,"17.833,51 €","835,78 €",35.000 km,"37.892,23 €"
"i5 eDrive40 Limousine - Option ('24', '40000')","72.020,00 €",24 Monate,"17.833,51 €","892,63 €",40.000 km,"39.256,63 €"
"i5 eDrive40 Limousine - Option ('24', '45000')","72.020,00 €",24 Monate,"17.833,51 €","977,92 €",45.000 km,"41.303,59 €"
"i5 eDrive40 Limousine - Option ('24', '50000')","72.020,00 €",24 Monate,"17.833,51 €","1.063,21 €",50.000 km,"43.350,55 €"
"i5 eDrive40 Limousine - Option ('24', '55000')","72.020,00 €",24 Monate,"17.833,51 €","1.120,06 €",55.000 km,"44.714,95 €"
"i5 eDrive40 Limousine - Option ('24', '60000')","72.020,00 €",24 Monate,"17.833,51 €","1.176,92 €",60.000 km,"46.079,59 €"
"i5 eDrive40 Limousine - Option ('24', '65000')","72.020,00 €",24 Monate,"17.833,51 €","1.233,78 €",65.000 km,"47.444,23 €"
"i5 eDrive40 Limousine - Option ('24', '70000')","72.020,00 €",24 Monate,"17.833,51 €","1.262,21 €",70.000 km,"48.126,55 €"
"i5 eDrive40 Limousine - Option ('24', '75000')","72.020,00 €",24 Monate,"17.833,51 €","1.319,06 €",75.000 km,"49.490,95 €"
"i5 eDrive40 Limousine - Option ('24', '80000')","72.020,00 €",24 Monate,"17.833,51 €","1.347,49 €",80.000 km,"50.173,27 €"
"i5 eDrive40 Limousine - Option ('27', '5000')","72.020,00 €",27 Monate,"17.833,51 €","582,56 €",5.000 km,"33.562,63 €"
"i5 eDrive40 Limousine - Option ('27', '10000')","72.020,00 €",27 Monate,"17.833,51 €","632,87 €",10.000 km,"34.921,00 €"
"i5 eDrive40 Limousine - Option ('27', '15000')","72.020,00 €",27 Monate,"17.833,51 €","658,02 €",15.000 km,"35.600,05 €"
"i5 eDrive40 Limousine - Option ('27', '20000')","72.020,00 €",27 Monate,"17.833,51 €","683,18 €",20.000 km,"36.279,37 €"
"i5 eDrive40 Limousine - Option ('27', '25000')","72.020,00 €",27 Monate,"17.833,51 €","708,34 €",25.000 km,"36.958,69 €"
"i5 eDrive40 Limousine - Option ('27', '30000')","72.020,00 €",27 Monate,"17.833,51 €","758,65 €",30.000 km,"38.317,06 €"
"i5 eDrive40 Limousine - Option ('27', '35000')","72.020,00 €",27 Monate,"17.833,51 €","834,11 €",35.000 km,"40.354,48 €"
"i5 eDrive40 Limousine - Option ('27', '40000')","72.020,00 €",27 Monate,"17.833,51 €","909,58 €",40.000 km,"42.392,17 €"
"i5 eDrive40 Limousine - Option ('27', '45000')","72.020,00 €",27 Monate,"17.833,51 €","985,05 €",45.000 km,"44.429,86 €"
"i5 eDrive40 Limousine - Option ('27', '50000')","72.020,00 €",27 Monate,"17.833,51 €","1.035,36 €",50.000 km,"45.788,23 €"
"i5 eDrive40 Limousine - Option ('27', '55000')","72.020,00 €",27 Monate,"17.833,51 €","1.085,67 €",55.000 km,"47.146,60 €"
"i5 eDrive40 Limousine - Option ('27', '60000')","72.020,00 €",27 Monate,"17.833,51 €","1.135,98 €",60.000 km,"48.504,97 €"
"i5 eDrive40 Limousine - Option ('27', '65000')","72.020,00 €",27 Monate,"17.833,51 €","1.186,29 €",65.000 km,"49.863,34 €"
"i5 eDrive40 Limousine - Option ('27', '70000')","72.020,00 €",27 Monate,"17.833,51 €","1.236,60 €",70.000 km,"51.221,71 €"
"i5 eDrive40 Limousine - Option ('27', '75000')","72.020,00 €",27 Monate,"17.833,51 €","1.261,75 €",75.000 km,"51.900,76 €"
"i5 eDrive40 Limousine - Option ('27', '80000')","72.020,00 €",27 Monate,"17.833,51 €","1.312,07 €",80.000 km,"53.259,40 €"
"i5 eDrive40 Limousine - Option ('30', '5000')","72.020,00 €",30 Monate,"17.833,51 €","589,70 €",5.000 km,"35.524,51 €"
"i5 eDrive40 Limousine - Option ('30', '10000')","72.020,00 €",30 Monate,"17.833,51 €","634,69 €",10.000 km,"36.874,21 €"
"i5 eDrive40 Limousine - Option ('30', '15000')","72.020,00 €",30 Monate,"17.833,51 €","657,19 €",15.000 km,"37.549,21 €"
"i5 eDrive40 Limousine - Option ('30', '20000')","72.020,00 €",30 Monate,"17.833,51 €","679,68 €",20.000 km,"38.223,91 €"
"i5 eDrive40 Limousine - Option ('30', '25000')","72.020,00 €",30 Monate,"17.833,51 €","724,68 €",25.000 km,"39.573,91 €"
"i5 eDrive40 Limousine - Option ('30', '30000')","72.020,00 €",30 Monate,"17.833,51 €","769,67 €",30.000 km,"40.923,61 €"
"i5 eDrive40 Limousine - Option ('30', '35000')","72.020,00 €",30 Monate,"17.833,51 €","837,16 €",35.000 km,"42.948,31 €"
"i5 eDrive40 Limousine - Option ('30', '40000')","72.020,00 €",30 Monate,"17.833,51 €","927,15 €",40.000 km,"45.648,01 €"
"i5 eDrive40 Limousine - Option ('30', '45000')","72.020,00 €",30 Monate,"17.833,51 €","972,14 €",45.000 km,"46.997,71 €"
"i5 eDrive40 Limousine - Option ('30', '50000')","72.020,00 €",30 Monate,"17.833,51 €","1.017,13 €",50.000 km,"48.347,41 €"
"i5 eDrive40 Limousine - Option ('30', '55000')","72.020,00 €",30 Monate,"17.833,51 €","1.062,12 €",55.000 km,"49.697,11 €"
"i5 eDrive40 Limousine - Option ('30', '60000')","72.020,00 €",30 Monate,"17.833,51 €","1.107,12 €",60.000 km,"51.047,11 €"
"i5 eDrive40 Limousine - Option ('30', '65000')","72.020,00 €",30 Monate,"17.833,51 €","1.152,11 €",65.000 km,"52.396,81 €"
"i5 eDrive40 Limousine - Option ('30', '70000')","72.020,00 €",30 Monate,"17.833,51 €","1.197,10 €",70.000 km,"53.746,51 €"
"i5 eDrive40 Limousine - Option ('30', '75000')","72.020,00 €",30 Monate,"17.833,51 €","1.219,60 €",75.000 km,"54.421,51 €"
"i5 eDrive40 Limousine - Option ('30', '80000')","72.020,00 €",30 Monate,"17.833,51 €","1.264,59 €",80.000 km,"55.771,21 €"
"i5 eDrive40 Limousine - Option ('33', '5000')","72.020,00 €",33 Monate,"17.833,51 €","595,02 €",5.000 km,"37.469,17 €"
"i5 eDrive40 Limousine - Option ('33', '10000')","72.020,00 €",33 Monate,"17.833,51 €","635,67 €",10.000 km,"38.810,62 €"
"i5 eDrive40 Limousine - Option ('33', '15000')","72.020,00 €",33 Monate,"17.833,51 €","655,99 €",15.000 km,"39.481,18 €"
"i5 eDrive40 Limousine - Option ('33', '20000')","72.020,00 €",33 Monate,"17.833,51 €","676,31 €",20.000 km,"40.151,74 €"
"i5 eDrive40 Limousine - Option ('33', '25000')","72.020,00 €",33 Monate,"17.833,51 €","716,96 €",25.000 km,"41.493,19 €"
"i5 eDrive40 Limousine - Option ('33', '30000')","72.020,00 €",33 Monate,"17.833,51 €","777,92 €",30.000 km,"43.504,87 €"
"i5 eDrive40 Limousine - Option ('33', '35000')","72.020,00 €",33 Monate,"17.833,51 €","859,21 €",35.000 km,"46.187,44 €"
"i5 eDrive40 Limousine - Option ('33', '40000')","72.020,00 €",33 Monate,"17.833,51 €","920,17 €",40.000 km,"48.199,12 €"
"i5 eDrive40 Limousine - Option ('33', '45000')","72.020,00 €",33 Monate,"17.833,51 €","960,82 €",45.000 km,"49.540,57 €"
"i5 eDrive40 Limousine - Option ('33', '50000')","72.020,00 €",33 Monate,"17.833,51 €","1.001,46 €",50.000 km,"50.881,69 €"
"i5 eDrive40 Limousine - Option ('33', '55000')","72.020,00 €",33 Monate,"17.833,51 €","1.042,10 €",55.000 km,"52.222,81 €"
"i5 eDrive40 Limousine - Option ('33', '60000')","72.020,00 €",33 Monate,"17.833,51 €","1.082,75 €",60.000 km,"53.564,26 €"
"i5 eDrive40 Limousine - Option ('33', '65000')","72.020,00 €",33 Monate,"17.833,51 €","1.123,39 €",65.000 km,"54.905,38 €"
"i5 eDrive40 Limousine - Option ('33', '70000')","72.020,00 €",33 Monate,"17.833,51 €","1.164,04 €",70.000 km,"56.246,83 €"
"i5 eDrive40 Limousine - Option ('33', '75000')","72.020,00 €",33 Monate,"17.833,51 €","1.204,68 €",75.000 km,"57.587,95 €"
"i5 eDrive40 Limousine - Option ('33', '80000')","72.020,00 €",33 Monate,"17.833,51 €","1.245,32 €",80.000 km,"58.929,07 €"
"i5 eDrive40 Limousine - Option ('36', '5000')","72.020,00 €",36 Monate,"17.833,51 €","599,00 €",5.000 km,"39.397,51 €"
"i5 eDrive40 Limousine - Option ('36', '10000')","72.020,00 €",36 Monate,"17.833,51 €","636,02 €",10.000 km,"40.730,23 €"
"i5 eDrive40 Limousine - Option ('36', '15000')","72.020,00 €",36 Monate,"17.833,51 €","654,53 €",15.000 km,"41.396,59 €"
"i5 eDrive40 Limousine - Option ('36', '20000')","72.020,00 €",36 Monate,"17.833,51 €","673,04 €",20.000 km,"42.062,95 €"
"i5 eDrive40 Limousine - Option ('36', '25000')","72.020,00 €",36 Monate,"17.833,51 €","728,57 €",25.000 km,"44.062,03 €"
"i5 eDrive40 Limousine - Option ('36', '30000')","72.020,00 €",36 Monate,"17.833,51 €","784,10 €",30.000 km,"46.061,11 €"
"i5 eDrive40 Limousine - Option ('36', '35000')","72.020,00 €",36 Monate,"17.833,51 €","858,14 €",35.000 km,"48.726,55 €"
"i5 eDrive40 Limousine - Option ('36', '40000')","72.020,00 €",36 Monate,"17.833,51 €","895,16 €",40.000 km,"50.059,27 €"
"i5 eDrive40 Limousine - Option ('36', '45000')","72.020,00 €",36 Monate,"17.833,51 €","950,69 €",45.000 km,"52.058,35 €"
"i5 eDrive40 Limousine - Option ('36', '50000')","72.020,00 €",36 Monate,"17.833,51 €","987,71 €",50.000 km,"53.391,07 €"
"i5 eDrive40 Limousine - Option ('36', '55000')","72.020,00 €",36 Monate,"17.833,51 €","1.024,73 €",55.000 km,"54.723,79 €"
"i5 eDrive40 Limousine - Option ('36', '60000')","72.020,00 €",36 Monate,"17.833,51 €","1.061,75 €",60.000 km,"56.056,51 €"
"i5 eDrive40 Limousine - Option ('36', '65000')","72.020,00 €",36 Monate,"17.833,51 €","1.098,77 €",65.000 km,"57.389,23 €"
"i5 eDrive40 Limousine - Option ('36', '70000')","72.020,00 €",36 Monate,"17.833,51 €","1.135,79 €",70.000 km,"58.721,95 €"
"i5 eDrive40 Limousine - Option ('36', '75000')","72.020,00 €",36 Monate,"17.833,51 €","1.172,81 €",75.000 km,"60.054,67 €"
"i5 eDrive40 Limousine - Option ('36', '80000')","72.020,00 €",36 Monate,"17.833,51 €","1.209,83 €",80.000 km,"61.387,39 €"
