Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW 118d - Option ('24', '5000')","38.470,00 €",24 Monate,"8.110,40 €","448,36 €",5.000 km,"18.871,04 €"
"BMW 118d - Option ('24', '10000')","38.470,00 €",24 Monate,"8.110,40 €","448,36 €",5.000 km,"18.871,04 €"
"BMW 118d - Option ('24', '15000')","38.470,00 €",24 Monate,"8.110,40 €","478,94 €",15.000 km,"19.604,96 €"
"BMW 118d - Option ('24', '20000')","38.470,00 €",24 Monate,"8.110,40 €","494,24 €",20.000 km,"19.972,16 €"
"BMW 118d - Option ('24', '25000')","38.470,00 €",24 Monate,"8.110,40 €","494,24 €",20.000 km,"19.972,16 €"
"BMW 118d - Option ('24', '30000')","38.470,00 €",24 Monate,"8.110,40 €","524,82 €",30.000 km,"20.706,08 €"
"BMW 118d - Option ('24', '35000')","38.470,00 €",24 Monate,"8.110,40 €","540,11 €",35.000 km,"21.073,04 €"
"BMW 118d - Option ('24', '40000')","38.470,00 €",24 Monate,"8.110,40 €","570,70 €",40.000 km,"21.807,20 €"
"BMW 118d - Option ('24', '45000')","38.470,00 €",24 Monate,"8.110,40 €","616,58 €",45.000 km,"22.908,32 €"
"BMW 118d - Option ('24', '50000')","38.470,00 €",24 Monate,"8.110,40 €","662,46 €",50.000 km,"24.009,44 €"
"BMW 118d - Option ('24', '55000')","38.470,00 €",24 Monate,"8.110,40 €","677,75 €",55.000 km,"24.376,40 €"
"BMW 118d - Option ('24', '60000')","38.470,00 €",24 Monate,"8.110,40 €","708,34 €",60.000 km,"25.110,56 €"
"BMW 118d - Option ('24', '65000')","38.470,00 €",24 Monate,"8.110,40 €","723,63 €",65.000 km,"25.477,52 €"
"BMW 118d - Option ('24', '70000')","38.470,00 €",24 Monate,"8.110,40 €","754,22 €",70.000 km,"26.211,68 €"
"BMW 118d - Option ('24', '75000')","38.470,00 €",24 Monate,"8.110,40 €","769,51 €",75.000 km,"26.578,64 €"
"BMW 118d - Option ('24', '80000')","38.470,00 €",24 Monate,"8.110,40 €","800,09 €",80.000 km,"27.312,56 €"
"BMW 118d - Option ('27', '5000')","38.470,00 €",27 Monate,"8.110,40 €","436,46 €",5.000 km,"19.894,82 €"
"BMW 118d - Option ('27', '10000')","38.470,00 €",27 Monate,"8.110,40 €","449,97 €",10.000 km,"20.259,59 €"
"BMW 118d - Option ('27', '15000')","38.470,00 €",27 Monate,"8.110,40 €","463,49 €",15.000 km,"20.624,63 €"
"BMW 118d - Option ('27', '20000')","38.470,00 €",27 Monate,"8.110,40 €","477,01 €",20.000 km,"20.989,67 €"
"BMW 118d - Option ('27', '25000')","38.470,00 €",27 Monate,"8.110,40 €","490,52 €",25.000 km,"21.354,44 €"
"BMW 118d - Option ('27', '30000')","38.470,00 €",27 Monate,"8.110,40 €","504,04 €",30.000 km,"21.719,48 €"
"BMW 118d - Option ('27', '35000')","38.470,00 €",27 Monate,"8.110,40 €","531,07 €",35.000 km,"22.449,29 €"
"BMW 118d - Option ('27', '40000')","38.470,00 €",27 Monate,"8.110,40 €","571,62 €",40.000 km,"23.544,14 €"
"BMW 118d - Option ('27', '45000')","38.470,00 €",27 Monate,"8.110,40 €","612,17 €",45.000 km,"24.638,99 €"
"BMW 118d - Option ('27', '50000')","38.470,00 €",27 Monate,"8.110,40 €","639,21 €",50.000 km,"25.369,07 €"
"BMW 118d - Option ('27', '55000')","38.470,00 €",27 Monate,"8.110,40 €","652,72 €",55.000 km,"25.733,84 €"
"BMW 118d - Option ('27', '60000')","38.470,00 €",27 Monate,"8.110,40 €","679,76 €",60.000 km,"26.463,92 €"
"BMW 118d - Option ('27', '65000')","38.470,00 €",27 Monate,"8.110,40 €","706,79 €",65.000 km,"27.193,73 €"
"BMW 118d - Option ('27', '70000')","38.470,00 €",27 Monate,"8.110,40 €","720,31 €",70.000 km,"27.558,77 €"
"BMW 118d - Option ('27', '75000')","38.470,00 €",27 Monate,"8.110,40 €","747,34 €",75.000 km,"28.288,58 €"
"BMW 118d - Option ('27', '80000')","38.470,00 €",27 Monate,"8.110,40 €","760,85 €",80.000 km,"28.653,35 €"
"BMW 118d - Option ('30', '5000')","38.470,00 €",30 Monate,"8.110,40 €","414,57 €",5.000 km,"20.547,50 €"
"BMW 118d - Option ('30', '10000')","38.470,00 €",30 Monate,"8.110,40 €","438,76 €",10.000 km,"21.273,20 €"
"BMW 118d - Option ('30', '15000')","38.470,00 €",30 Monate,"8.110,40 €","450,86 €",15.000 km,"21.636,20 €"
"BMW 118d - Option ('30', '20000')","38.470,00 €",30 Monate,"8.110,40 €","462,95 €",20.000 km,"21.998,90 €"
"BMW 118d - Option ('30', '25000')","38.470,00 €",30 Monate,"8.110,40 €","475,05 €",25.000 km,"22.361,90 €"
"BMW 118d - Option ('30', '30000')","38.470,00 €",30 Monate,"8.110,40 €","499,24 €",30.000 km,"23.087,60 €"
"BMW 118d - Option ('30', '35000')","38.470,00 €",30 Monate,"8.110,40 €","523,43 €",35.000 km,"23.813,30 €"
"BMW 118d - Option ('30', '40000')","38.470,00 €",30 Monate,"8.110,40 €","571,81 €",40.000 km,"25.264,70 €"
"BMW 118d - Option ('30', '45000')","38.470,00 €",30 Monate,"8.110,40 €","596,01 €",45.000 km,"25.990,70 €"
"BMW 118d - Option ('30', '50000')","38.470,00 €",30 Monate,"8.110,40 €","620,20 €",50.000 km,"26.716,40 €"
"BMW 118d - Option ('30', '55000')","38.470,00 €",30 Monate,"8.110,40 €","632,29 €",55.000 km,"27.079,10 €"
"BMW 118d - Option ('30', '60000')","38.470,00 €",30 Monate,"8.110,40 €","656,49 €",60.000 km,"27.805,10 €"
"BMW 118d - Option ('30', '65000')","38.470,00 €",30 Monate,"8.110,40 €","680,68 €",65.000 km,"28.530,80 €"
"BMW 118d - Option ('30', '70000')","38.470,00 €",30 Monate,"8.110,40 €","692,77 €",70.000 km,"28.893,50 €"
"BMW 118d - Option ('30', '75000')","38.470,00 €",30 Monate,"8.110,40 €","716,96 €",75.000 km,"29.619,20 €"
"BMW 118d - Option ('30', '80000')","38.470,00 €",30 Monate,"8.110,40 €","729,06 €",80.000 km,"29.982,20 €"
"BMW 118d - Option ('33', '5000')","38.470,00 €",33 Monate,"8.110,40 €","418,41 €",5.000 km,"21.917,93 €"
"BMW 118d - Option ('33', '10000')","38.470,00 €",33 Monate,"8.110,40 €","429,34 €",10.000 km,"22.278,62 €"
"BMW 118d - Option ('33', '15000')","38.470,00 €",33 Monate,"8.110,40 €","429,34 €",10.000 km,"22.278,62 €"
"BMW 118d - Option ('33', '20000')","38.470,00 €",33 Monate,"8.110,40 €","451,21 €",20.000 km,"23.000,33 €"
"BMW 118d - Option ('33', '25000')","38.470,00 €",33 Monate,"8.110,40 €","473,08 €",25.000 km,"23.722,04 €"
"BMW 118d - Option ('33', '30000')","38.470,00 €",33 Monate,"8.110,40 €","484,01 €",30.000 km,"24.082,73 €"
"BMW 118d - Option ('33', '35000')","38.470,00 €",33 Monate,"8.110,40 €","527,75 €",35.000 km,"25.526,15 €"
"BMW 118d - Option ('33', '40000')","38.470,00 €",33 Monate,"8.110,40 €","560,55 €",40.000 km,"26.608,55 €"
