Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW 520i Touring - Option ('24', '5000')","62.070,00 €",24 Monate,"13.633,57 €","692,34 €",5.000 km,"30.249,73 €"
"BMW 520i Touring - Option ('24', '10000')","62.070,00 €",24 Monate,"13.633,57 €","716,89 €",10.000 km,"30.838,93 €"
"BMW 520i Touring - Option ('24', '15000')","62.070,00 €",24 Monate,"13.633,57 €","741,44 €",15.000 km,"31.428,13 €"
"BMW 520i Touring - Option ('24', '20000')","62.070,00 €",24 Monate,"13.633,57 €","765,98 €",20.000 km,"32.017,09 €"
"BMW 520i Touring - Option ('24', '25000')","62.070,00 €",24 Monate,"13.633,57 €","790,53 €",25.000 km,"32.606,29 €"
"BMW 520i Touring - Option ('24', '30000')","62.070,00 €",24 Monate,"13.633,57 €","839,62 €",30.000 km,"33.784,45 €"
"BMW 520i Touring - Option ('24', '35000')","62.070,00 €",24 Monate,"13.633,57 €","864,16 €",35.000 km,"34.373,41 €"
"BMW 520i Touring - Option ('24', '40000')","62.070,00 €",24 Monate,"13.633,57 €","913,25 €",40.000 km,"35.551,57 €"
"BMW 520i Touring - Option ('24', '45000')","62.070,00 €",24 Monate,"13.633,57 €","986,89 €",45.000 km,"37.318,93 €"
"BMW 520i Touring - Option ('24', '50000')","62.070,00 €",24 Monate,"13.633,57 €","1.035,98 €",50.000 km,"38.497,09 €"
"BMW 520i Touring - Option ('24', '55000')","62.070,00 €",24 Monate,"13.633,57 €","1.085,07 €",55.000 km,"39.675,25 €"
"BMW 520i Touring - Option ('24', '60000')","62.070,00 €",24 Monate,"13.633,57 €","1.134,16 €",60.000 km,"40.853,41 €"
"BMW 520i Touring - Option ('24', '65000')","62.070,00 €",24 Monate,"13.633,57 €","1.158,70 €",65.000 km,"41.442,37 €"
"BMW 520i Touring - Option ('24', '70000')","62.070,00 €",24 Monate,"13.633,57 €","1.207,79 €",70.000 km,"42.620,53 €"
"BMW 520i Touring - Option ('24', '75000')","62.070,00 €",24 Monate,"13.633,57 €","1.232,34 €",75.000 km,"43.209,73 €"
"BMW 520i Touring - Option ('24', '80000')","62.070,00 €",24 Monate,"13.633,57 €","1.256,88 €",80.000 km,"43.798,69 €"
"BMW 520i Touring - Option ('27', '5000')","62.070,00 €",27 Monate,"13.633,57 €","678,30 €",5.000 km,"31.947,67 €"
"BMW 520i Touring - Option ('27', '10000')","62.070,00 €",27 Monate,"13.633,57 €","699,98 €",10.000 km,"32.533,03 €"
"BMW 520i Touring - Option ('27', '15000')","62.070,00 €",27 Monate,"13.633,57 €","721,66 €",15.000 km,"33.118,39 €"
"BMW 520i Touring - Option ('27', '20000')","62.070,00 €",27 Monate,"13.633,57 €","743,34 €",20.000 km,"33.703,75 €"
"BMW 520i Touring - Option ('27', '25000')","62.070,00 €",27 Monate,"13.633,57 €","765,02 €",25.000 km,"34.289,11 €"
"BMW 520i Touring - Option ('27', '30000')","62.070,00 €",27 Monate,"13.633,57 €","808,38 €",30.000 km,"35.459,83 €"
"BMW 520i Touring - Option ('27', '35000')","62.070,00 €",27 Monate,"13.633,57 €","851,74 €",35.000 km,"36.630,55 €"
"BMW 520i Touring - Option ('27', '40000')","62.070,00 €",27 Monate,"13.633,57 €","916,79 €",40.000 km,"38.386,90 €"
"BMW 520i Touring - Option ('27', '45000')","62.070,00 €",27 Monate,"13.633,57 €","981,83 €",45.000 km,"40.142,98 €"
"BMW 520i Touring - Option ('27', '50000')","62.070,00 €",27 Monate,"13.633,57 €","1.003,51 €",50.000 km,"40.728,34 €"
"BMW 520i Touring - Option ('27', '55000')","62.070,00 €",27 Monate,"13.633,57 €","1.046,87 €",55.000 km,"41.899,06 €"
"BMW 520i Touring - Option ('27', '60000')","62.070,00 €",27 Monate,"13.633,57 €","1.090,23 €",60.000 km,"43.069,78 €"
"BMW 520i Touring - Option ('27', '65000')","62.070,00 €",27 Monate,"13.633,57 €","1.111,91 €",65.000 km,"43.655,14 €"
"BMW 520i Touring - Option ('27', '70000')","62.070,00 €",27 Monate,"13.633,57 €","1.155,27 €",70.000 km,"44.825,86 €"
"BMW 520i Touring - Option ('27', '75000')","62.070,00 €",27 Monate,"13.633,57 €","1.176,95 €",75.000 km,"45.411,22 €"
"BMW 520i Touring - Option ('27', '80000')","62.070,00 €",27 Monate,"13.633,57 €","1.220,31 €",80.000 km,"46.581,94 €"
"BMW 520i Touring - Option ('30', '5000')","62.070,00 €",30 Monate,"13.633,57 €","666,59 €",5.000 km,"33.631,27 €"
"BMW 520i Touring - Option ('30', '10000')","62.070,00 €",30 Monate,"13.633,57 €","685,98 €",10.000 km,"34.212,97 €"
"BMW 520i Touring - Option ('30', '15000')","62.070,00 €",30 Monate,"13.633,57 €","705,37 €",15.000 km,"34.794,67 €"
"BMW 520i Touring - Option ('30', '20000')","62.070,00 €",30 Monate,"13.633,57 €","724,75 €",20.000 km,"35.376,07 €"
"BMW 520i Touring - Option ('30', '25000')","62.070,00 €",30 Monate,"13.633,57 €","763,53 €",25.000 km,"36.539,47 €"
"BMW 520i Touring - Option ('30', '30000')","62.070,00 €",30 Monate,"13.633,57 €","782,92 €",30.000 km,"37.121,17 €"
"BMW 520i Touring - Option ('30', '35000')","62.070,00 €",30 Monate,"13.633,57 €","841,09 €",35.000 km,"38.866,27 €"
"BMW 520i Touring - Option ('30', '40000')","62.070,00 €",30 Monate,"13.633,57 €","899,25 €",40.000 km,"40.611,07 €"
"BMW 520i Touring - Option ('30', '45000')","62.070,00 €",30 Monate,"13.633,57 €","938,03 €",45.000 km,"41.774,47 €"
"BMW 520i Touring - Option ('30', '50000')","62.070,00 €",30 Monate,"13.633,57 €","976,81 €",50.000 km,"42.937,87 €"
"BMW 520i Touring - Option ('30', '55000')","62.070,00 €",30 Monate,"13.633,57 €","1.015,58 €",55.000 km,"44.100,97 €"
"BMW 520i Touring - Option ('30', '60000')","62.070,00 €",30 Monate,"13.633,57 €","1.054,36 €",60.000 km,"45.264,37 €"
"BMW 520i Touring - Option ('30', '65000')","62.070,00 €",30 Monate,"13.633,57 €","1.073,75 €",65.000 km,"45.846,07 €"
"BMW 520i Touring - Option ('30', '70000')","62.070,00 €",30 Monate,"13.633,57 €","1.112,53 €",70.000 km,"47.009,47 €"
"BMW 520i Touring - Option ('30', '75000')","62.070,00 €",30 Monate,"13.633,57 €","1.131,92 €",75.000 km,"47.591,17 €"
