Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i4 xDrive40 Gran Coupé - Option ('24', '5000')","66.750,00 €",24 Monate,"16.159,74 €","666,44 €",5.000 km,"32.154,30 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '10000')","66.750,00 €",24 Monate,"16.159,74 €","719,03 €",10.000 km,"33.416,46 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '15000')","66.750,00 €",24 Monate,"16.159,74 €","745,32 €",15.000 km,"34.047,42 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '20000')","66.750,00 €",24 Monate,"16.159,74 €","771,61 €",20.000 km,"34.678,38 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '25000')","66.750,00 €",24 Monate,"16.159,74 €","824,20 €",25.000 km,"35.940,54 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '30000')","66.750,00 €",24 Monate,"16.159,74 €","903,08 €",30.000 km,"37.833,66 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '35000')","66.750,00 €",24 Monate,"16.159,74 €","981,96 €",35.000 km,"39.726,78 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '40000')","66.750,00 €",24 Monate,"16.159,74 €","1.034,54 €",40.000 km,"40.988,70 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '45000')","66.750,00 €",24 Monate,"16.159,74 €","1.139,71 €",45.000 km,"43.512,78 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '50000')","66.750,00 €",24 Monate,"16.159,74 €","1.244,89 €",50.000 km,"46.037,10 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '55000')","66.750,00 €",24 Monate,"16.159,74 €","1.297,47 €",55.000 km,"47.299,02 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '60000')","66.750,00 €",24 Monate,"16.159,74 €","1.350,06 €",60.000 km,"48.561,18 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '65000')","66.750,00 €",24 Monate,"16.159,74 €","1.402,64 €",65.000 km,"49.823,10 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '70000')","66.750,00 €",24 Monate,"16.159,74 €","1.455,23 €",70.000 km,"51.085,26 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '75000')","66.750,00 €",24 Monate,"16.159,74 €","1.507,82 €",75.000 km,"52.347,42 €"
"BMW i4 xDrive40 Gran Coupé - Option ('24', '80000')","66.750,00 €",24 Monate,"16.159,74 €","1.534,11 €",80.000 km,"52.978,38 €"
"BMW i4 xDrive40 Gran Coupé - Option ('27', '5000')","66.750,00 €",27 Monate,"16.159,74 €","624,28 €",5.000 km,"33.015,30 €"
"BMW i4 xDrive40 Gran Coupé - Option ('27', '10000')","66.750,00 €",27 Monate,"16.159,74 €","670,91 €",10.000 km,"34.274,31 €"
"BMW i4 xDrive40 Gran Coupé - Option ('27', '15000')","66.750,00 €",27 Monate,"16.159,74 €","717,54 €",15.000 km,"35.533,32 €"
"BMW i4 xDrive40 Gran Coupé - Option ('27', '20000')","66.750,00 €",27 Monate,"16.159,74 €","740,86 €",20.000 km,"36.162,96 €"
"BMW i4 xDrive40 Gran Coupé - Option ('27', '25000')","66.750,00 €",27 Monate,"16.159,74 €","787,49 €",25.000 km,"37.421,97 €"
"BMW i4 xDrive40 Gran Coupé - Option ('27', '30000')","66.750,00 €",27 Monate,"16.159,74 €","857,43 €",30.000 km,"39.310,35 €"
