Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i5 M60 xDrive Touring - Option ('24', '5000')","103.770,00 €",24 Monate,"24.148,55 €","944,22 €",5.000 km,"46.809,83 €"
"BMW i5 M60 xDrive Touring - Option ('24', '10000')","103.770,00 €",24 Monate,"24.148,55 €","1.026,14 €",10.000 km,"48.775,91 €"
"BMW i5 M60 xDrive Touring - Option ('24', '15000')","103.770,00 €",24 Monate,"24.148,55 €","1.067,10 €",15.000 km,"49.758,95 €"
"BMW i5 M60 xDrive Touring - Option ('24', '20000')","103.770,00 €",24 Monate,"24.148,55 €","1.108,06 €",20.000 km,"50.741,99 €"
"BMW i5 M60 xDrive Touring - Option ('24', '25000')","103.770,00 €",24 Monate,"24.148,55 €","1.149,03 €",25.000 km,"51.725,27 €"
"BMW i5 M60 xDrive Touring - Option ('24', '30000')","103.770,00 €",24 Monate,"24.148,55 €","1.230,95 €",30.000 km,"53.691,35 €"
"BMW i5 M60 xDrive Touring - Option ('24', '35000')","103.770,00 €",24 Monate,"24.148,55 €","1.312,87 €",35.000 km,"55.657,43 €"
"BMW i5 M60 xDrive Touring - Option ('24', '40000')","103.770,00 €",24 Monate,"24.148,55 €","1.394,80 €",40.000 km,"57.623,75 €"
"BMW i5 M60 xDrive Touring - Option ('24', '45000')","103.770,00 €",24 Monate,"24.148,55 €","1.517,68 €",45.000 km,"60.572,87 €"
"BMW i5 M60 xDrive Touring - Option ('24', '50000')","103.770,00 €",24 Monate,"24.148,55 €","1.640,56 €",50.000 km,"63.521,99 €"
"BMW i5 M60 xDrive Touring - Option ('24', '55000')","103.770,00 €",24 Monate,"24.148,55 €","1.722,49 €",55.000 km,"65.488,31 €"
"BMW i5 M60 xDrive Touring - Option ('24', '60000')","103.770,00 €",24 Monate,"24.148,55 €","1.804,41 €",60.000 km,"67.454,39 €"
"BMW i5 M60 xDrive Touring - Option ('24', '65000')","103.770,00 €",24 Monate,"24.148,55 €","1.886,33 €",65.000 km,"69.420,47 €"
"BMW i5 M60 xDrive Touring - Option ('24', '70000')","103.770,00 €",24 Monate,"24.148,55 €","1.927,29 €",70.000 km,"70.403,51 €"
"BMW i5 M60 xDrive Touring - Option ('24', '75000')","103.770,00 €",24 Monate,"24.148,55 €","2.009,22 €",75.000 km,"72.369,83 €"
"BMW i5 M60 xDrive Touring - Option ('24', '80000')","103.770,00 €",24 Monate,"24.148,55 €","2.050,18 €",80.000 km,"73.352,87 €"
"BMW i5 M60 xDrive Touring - Option ('27', '5000')","103.770,00 €",27 Monate,"24.148,55 €","936,06 €",5.000 km,"49.422,17 €"
"BMW i5 M60 xDrive Touring - Option ('27', '10000')","103.770,00 €",27 Monate,"24.148,55 €","1.008,55 €",10.000 km,"51.379,40 €"
"BMW i5 M60 xDrive Touring - Option ('27', '15000')","103.770,00 €",27 Monate,"24.148,55 €","1.044,79 €",15.000 km,"52.357,88 €"
"BMW i5 M60 xDrive Touring - Option ('27', '20000')","103.770,00 €",27 Monate,"24.148,55 €","1.081,04 €",20.000 km,"53.336,63 €"
"BMW i5 M60 xDrive Touring - Option ('27', '25000')","103.770,00 €",27 Monate,"24.148,55 €","1.117,29 €",25.000 km,"54.315,38 €"
"BMW i5 M60 xDrive Touring - Option ('27', '30000')","103.770,00 €",27 Monate,"24.148,55 €","1.189,78 €",30.000 km,"56.272,61 €"
"BMW i5 M60 xDrive Touring - Option ('27', '35000')","103.770,00 €",27 Monate,"24.148,55 €","1.298,51 €",35.000 km,"59.208,32 €"
"BMW i5 M60 xDrive Touring - Option ('27', '40000')","103.770,00 €",24 Monate,"24.148,55 €","1.394,80 €",40.000 km,"57.623,75 €"
"BMW i5 M60 xDrive Touring - Option ('27', '45000')","103.770,00 €",27 Monate,"24.148,55 €","1.515,98 €",45.000 km,"65.080,01 €"
"BMW i5 M60 xDrive Touring - Option ('27', '50000')","103.770,00 €",27 Monate,"24.148,55 €","1.588,47 €",50.000 km,"67.037,24 €"
"BMW i5 M60 xDrive Touring - Option ('27', '55000')","103.770,00 €",27 Monate,"24.148,55 €","1.660,96 €",55.000 km,"68.994,47 €"
"BMW i5 M60 xDrive Touring - Option ('27', '60000')","103.770,00 €",27 Monate,"24.148,55 €","1.733,45 €",60.000 km,"70.951,70 €"
"BMW i5 M60 xDrive Touring - Option ('27', '65000')","103.770,00 €",27 Monate,"24.148,55 €","1.805,94 €",65.000 km,"72.908,93 €"
"BMW i5 M60 xDrive Touring - Option ('27', '70000')","103.770,00 €",27 Monate,"24.148,55 €","1.878,43 €",70.000 km,"74.866,16 €"
"BMW i5 M60 xDrive Touring - Option ('27', '75000')","103.770,00 €",27 Monate,"24.148,55 €","1.914,68 €",75.000 km,"75.844,91 €"
"BMW i5 M60 xDrive Touring - Option ('27', '80000')","103.770,00 €",27 Monate,"24.148,55 €","1.987,17 €",80.000 km,"77.802,14 €"
"BMW i5 M60 xDrive Touring - Option ('30', '5000')","103.770,00 €",30 Monate,"24.148,55 €","936,80 €",5.000 km,"52.252,55 €"
"BMW i5 M60 xDrive Touring - Option ('30', '10000')","103.770,00 €",30 Monate,"24.148,55 €","1.001,63 €",10.000 km,"54.197,45 €"
"BMW i5 M60 xDrive Touring - Option ('30', '15000')","103.770,00 €",30 Monate,"24.148,55 €","1.034,04 €",15.000 km,"55.169,75 €"
"BMW i5 M60 xDrive Touring - Option ('30', '20000')","103.770,00 €",30 Monate,"24.148,55 €","1.066,46 €",20.000 km,"56.142,35 €"
"BMW i5 M60 xDrive Touring - Option ('30', '25000')","103.770,00 €",30 Monate,"24.148,55 €","1.131,29 €",25.000 km,"58.087,25 €"
"BMW i5 M60 xDrive Touring - Option ('30', '30000')","103.770,00 €",30 Monate,"24.148,55 €","1.196,12 €",30.000 km,"60.032,15 €"
"BMW i5 M60 xDrive Touring - Option ('30', '35000')","103.770,00 €",30 Monate,"24.148,55 €","1.293,36 €",35.000 km,"62.949,35 €"
"BMW i5 M60 xDrive Touring - Option ('30', '40000')","103.770,00 €",30 Monate,"24.148,55 €","1.423,02 €",40.000 km,"66.839,15 €"
"BMW i5 M60 xDrive Touring - Option ('30', '45000')","103.770,00 €",30 Monate,"24.148,55 €","1.487,84 €",45.000 km,"68.783,75 €"
"BMW i5 M60 xDrive Touring - Option ('30', '50000')","103.770,00 €",30 Monate,"24.148,55 €","1.552,67 €",50.000 km,"70.728,65 €"
"BMW i5 M60 xDrive Touring - Option ('30', '55000')","103.770,00 €",30 Monate,"24.148,55 €","1.617,50 €",55.000 km,"72.673,55 €"
"BMW i5 M60 xDrive Touring - Option ('30', '60000')","103.770,00 €",30 Monate,"24.148,55 €","1.682,33 €",60.000 km,"74.618,45 €"
"BMW i5 M60 xDrive Touring - Option ('30', '65000')","103.770,00 €",30 Monate,"24.148,55 €","1.747,16 €",65.000 km,"76.563,35 €"
"BMW i5 M60 xDrive Touring - Option ('30', '70000')","103.770,00 €",30 Monate,"24.148,55 €","1.811,99 €",70.000 km,"78.508,25 €"
"BMW i5 M60 xDrive Touring - Option ('30', '75000')","103.770,00 €",30 Monate,"24.148,55 €","1.844,40 €",75.000 km,"79.480,55 €"
"BMW i5 M60 xDrive Touring - Option ('30', '80000')","103.770,00 €",30 Monate,"24.148,55 €","1.909,23 €",80.000 km,"81.425,45 €"
"BMW i5 M60 xDrive Touring - Option ('33', '5000')","103.770,00 €",33 Monate,"24.148,55 €","936,67 €",5.000 km,"55.058,66 €"
