Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i7 M70 xDrive Limousine - Option ('24', '5000')","183.370,00 €",24 Monate,"45.406,34 €","1.520,16 €",5.000 km,"81.890,18 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '10000')","183.370,00 €",24 Monate,"45.406,34 €","1.593,30 €",10.000 km,"83.645,54 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '15000')","183.370,00 €",24 Monate,"45.406,34 €","1.666,43 €",15.000 km,"85.400,66 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '20000')","183.370,00 €",24 Monate,"45.406,34 €","1.739,56 €",20.000 km,"87.155,78 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '25000')","183.370,00 €",24 Monate,"45.406,34 €","1.885,83 €",25.000 km,"90.666,26 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '30000')","183.370,00 €",24 Monate,"45.406,34 €","2.032,10 €",30.000 km,"94.176,74 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '35000')","183.370,00 €",24 Monate,"45.406,34 €","2.178,36 €",35.000 km,"97.686,98 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '40000')","183.370,00 €",24 Monate,"45.406,34 €","2.324,63 €",40.000 km,"101.197,46 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '45000')","183.370,00 €",24 Monate,"45.406,34 €","2.544,03 €",45.000 km,"106.463,06 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '50000')","183.370,00 €",24 Monate,"45.406,34 €","2.763,43 €",50.000 km,"111.728,66 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '55000')","183.370,00 €",24 Monate,"45.406,34 €","2.909,69 €",55.000 km,"115.238,90 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '60000')","183.370,00 €",24 Monate,"45.406,34 €","3.055,96 €",60.000 km,"118.749,38 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '65000')","183.370,00 €",24 Monate,"45.406,34 €","3.202,23 €",65.000 km,"122.259,86 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '70000')","183.370,00 €",24 Monate,"45.406,34 €","3.275,36 €",70.000 km,"124.014,98 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '75000')","183.370,00 €",24 Monate,"45.406,34 €","3.421,63 €",75.000 km,"127.525,46 €"
"BMW i7 M70 xDrive Limousine - Option ('24', '80000')","183.370,00 €",24 Monate,"45.406,34 €","3.494,76 €",80.000 km,"129.280,58 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '5000')","183.370,00 €",27 Monate,"45.406,34 €","1.393,47 €",5.000 km,"83.030,03 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '10000')","183.370,00 €",27 Monate,"45.406,34 €","1.523,86 €",10.000 km,"86.550,56 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '15000')","183.370,00 €",27 Monate,"45.406,34 €","1.589,05 €",15.000 km,"88.310,69 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '20000')","183.370,00 €",27 Monate,"45.406,34 €","1.654,24 €",20.000 km,"90.070,82 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '25000')","183.370,00 €",27 Monate,"45.406,34 €","1.784,62 €",25.000 km,"93.591,08 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '30000')","183.370,00 €",27 Monate,"45.406,34 €","1.915,01 €",30.000 km,"97.111,61 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '35000')","183.370,00 €",27 Monate,"45.406,34 €","2.045,39 €",35.000 km,"100.631,87 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '40000')","183.370,00 €",27 Monate,"45.406,34 €","2.306,16 €",40.000 km,"107.672,66 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '45000')","183.370,00 €",27 Monate,"45.406,34 €","2.501,74 €",45.000 km,"112.953,32 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '50000')","183.370,00 €",27 Monate,"45.406,34 €","2.632,12 €",50.000 km,"116.473,58 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '55000')","183.370,00 €",27 Monate,"45.406,34 €","2.762,51 €",55.000 km,"119.994,11 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '60000')","183.370,00 €",27 Monate,"45.406,34 €","2.892,89 €",60.000 km,"123.514,37 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '65000')","183.370,00 €",27 Monate,"45.406,34 €","3.023,28 €",65.000 km,"127.034,90 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '70000')","183.370,00 €",27 Monate,"45.406,34 €","3.153,66 €",70.000 km,"130.555,16 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '75000')","183.370,00 €",27 Monate,"45.406,34 €","3.218,85 €",75.000 km,"132.315,29 €"
"BMW i7 M70 xDrive Limousine - Option ('27', '80000')","183.370,00 €",27 Monate,"45.406,34 €","3.349,24 €",80.000 km,"135.835,82 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '5000')","183.370,00 €",30 Monate,"45.406,34 €","1.407,02 €",5.000 km,"87.616,94 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '10000')","183.370,00 €",30 Monate,"45.406,34 €","1.523,85 €",10.000 km,"91.121,84 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '15000')","183.370,00 €",30 Monate,"45.406,34 €","1.640,68 €",15.000 km,"94.626,74 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '20000')","183.370,00 €",30 Monate,"45.406,34 €","1.699,09 €",20.000 km,"96.379,04 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '25000')","183.370,00 €",30 Monate,"45.406,34 €","1.757,51 €",25.000 km,"98.131,64 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '30000')","183.370,00 €",30 Monate,"45.406,34 €","1.874,34 €",30.000 km,"101.636,54 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '35000')","183.370,00 €",30 Monate,"45.406,34 €","2.049,58 €",35.000 km,"106.893,74 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '40000')","183.370,00 €",30 Monate,"45.406,34 €","2.283,24 €",40.000 km,"113.903,54 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '45000')","183.370,00 €",30 Monate,"45.406,34 €","2.458,48 €",45.000 km,"119.160,74 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '50000')","183.370,00 €",30 Monate,"45.406,34 €","2.575,31 €",50.000 km,"122.665,64 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '55000')","183.370,00 €",30 Monate,"45.406,34 €","2.692,14 €",55.000 km,"126.170,54 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '60000')","183.370,00 €",30 Monate,"45.406,34 €","2.808,97 €",60.000 km,"129.675,44 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '65000')","183.370,00 €",30 Monate,"45.406,34 €","2.925,80 €",65.000 km,"133.180,34 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '70000')","183.370,00 €",30 Monate,"45.406,34 €","3.042,63 €",70.000 km,"136.685,24 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '75000')","183.370,00 €",30 Monate,"45.406,34 €","3.101,04 €",75.000 km,"138.437,54 €"
"BMW i7 M70 xDrive Limousine - Option ('30', '80000')","183.370,00 €",30 Monate,"45.406,34 €","3.159,46 €",80.000 km,"140.190,14 €"
"BMW i7 M70 xDrive Limousine - Option ('33', '5000')","183.370,00 €",33 Monate,"45.406,34 €","1.470,05 €",5.000 km,"93.917,99 €"
"BMW i7 M70 xDrive Limousine - Option ('33', '10000')","183.370,00 €",33 Monate,"45.406,34 €","1.522,92 €",10.000 km,"95.662,70 €"
"BMW i7 M70 xDrive Limousine - Option ('33', '15000')","183.370,00 €",33 Monate,"45.406,34 €","1.628,66 €",15.000 km,"99.152,12 €"
"BMW i7 M70 xDrive Limousine - Option ('33', '20000')","183.370,00 €",33 Monate,"45.406,34 €","1.681,53 €",20.000 km,"100.896,83 €"
