Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i7 eDrive50 Limousine - Option ('24', '5000')","115.700,00 €",24 Monate,"28.649,80 €","959,17 €",5.000 km,"51.669,88 €"
"BMW i7 eDrive50 Limousine - Option ('24', '10000')","115.700,00 €",24 Monate,"28.649,80 €","1.005,31 €",10.000 km,"52.777,24 €"
"BMW i7 eDrive50 Limousine - Option ('24', '15000')","115.700,00 €",24 Monate,"28.649,80 €","1.051,46 €",15.000 km,"53.884,84 €"
"BMW i7 eDrive50 Limousine - Option ('24', '20000')","115.700,00 €",24 Monate,"28.649,80 €","1.097,60 €",20.000 km,"54.992,20 €"
"BMW i7 eDrive50 Limousine - Option ('24', '25000')","115.700,00 €",24 Monate,"28.649,80 €","1.189,89 €",25.000 km,"57.207,16 €"
"BMW i7 eDrive50 Limousine - Option ('24', '30000')","115.700,00 €",24 Monate,"28.649,80 €","1.282,18 €",30.000 km,"59.422,12 €"
"BMW i7 eDrive50 Limousine - Option ('24', '35000')","115.700,00 €",24 Monate,"28.649,80 €","1.374,47 €",35.000 km,"61.637,08 €"
"BMW i7 eDrive50 Limousine - Option ('24', '40000')","115.700,00 €",24 Monate,"28.649,80 €","1.466,76 €",40.000 km,"63.852,04 €"
"BMW i7 eDrive50 Limousine - Option ('24', '45000')","115.700,00 €",24 Monate,"28.649,80 €","1.605,19 €",45.000 km,"67.174,36 €"
"BMW i7 eDrive50 Limousine - Option ('24', '50000')","115.700,00 €",24 Monate,"28.649,80 €","1.743,63 €",50.000 km,"70.496,92 €"
"BMW i7 eDrive50 Limousine - Option ('24', '55000')","115.700,00 €",24 Monate,"28.649,80 €","1.835,91 €",55.000 km,"72.711,64 €"
"BMW i7 eDrive50 Limousine - Option ('24', '60000')","115.700,00 €",24 Monate,"28.649,80 €","1.928,20 €",60.000 km,"74.926,60 €"
"BMW i7 eDrive50 Limousine - Option ('24', '65000')","115.700,00 €",24 Monate,"28.649,80 €","2.020,49 €",65.000 km,"77.141,56 €"
"BMW i7 eDrive50 Limousine - Option ('24', '70000')","115.700,00 €",24 Monate,"28.649,80 €","2.066,64 €",70.000 km,"78.249,16 €"
"BMW i7 eDrive50 Limousine - Option ('24', '75000')","115.700,00 €",24 Monate,"28.649,80 €","2.158,93 €",75.000 km,"80.464,12 €"
"BMW i7 eDrive50 Limousine - Option ('24', '80000')","115.700,00 €",24 Monate,"28.649,80 €","2.205,07 €",80.000 km,"81.571,48 €"
"BMW i7 eDrive50 Limousine - Option ('27', '5000')","115.700,00 €",27 Monate,"28.649,80 €","879,23 €",5.000 km,"52.389,01 €"
"BMW i7 eDrive50 Limousine - Option ('27', '10000')","115.700,00 €",27 Monate,"28.649,80 €","961,50 €",10.000 km,"54.610,30 €"
"BMW i7 eDrive50 Limousine - Option ('27', '15000')","115.700,00 €",27 Monate,"28.649,80 €","1.002,63 €",15.000 km,"55.720,81 €"
"BMW i7 eDrive50 Limousine - Option ('27', '20000')","115.700,00 €",27 Monate,"28.649,80 €","1.043,77 €",20.000 km,"56.831,59 €"
"BMW i7 eDrive50 Limousine - Option ('27', '25000')","115.700,00 €",27 Monate,"28.649,80 €","1.126,04 €",25.000 km,"59.052,88 €"
