Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW iX M70 xDrive - Option ('24', '5000')","128.650,00 €",24 Monate,"22.792,54 €","1.518,84 €",5.000 km,"59.244,70 €"
"BMW iX M70 xDrive - Option ('24', '10000')","128.650,00 €",24 Monate,"22.792,54 €","1.620,62 €",10.000 km,"61.687,42 €"
"BMW iX M70 xDrive - Option ('24', '15000')","128.650,00 €",24 Monate,"22.792,54 €","1.671,51 €",15.000 km,"62.908,78 €"
"BMW iX M70 xDrive - Option ('24', '20000')","128.650,00 €",24 Monate,"22.792,54 €","1.722,40 €",20.000 km,"64.130,14 €"
"BMW iX M70 xDrive - Option ('24', '25000')","128.650,00 €",24 Monate,"22.792,54 €","1.773,29 €",25.000 km,"65.351,50 €"
"BMW iX M70 xDrive - Option ('24', '30000')","128.650,00 €",24 Monate,"22.792,54 €","1.875,07 €",30.000 km,"67.794,22 €"
"BMW iX M70 xDrive - Option ('24', '35000')","128.650,00 €",24 Monate,"22.792,54 €","1.976,85 €",35.000 km,"70.236,94 €"
"BMW iX M70 xDrive - Option ('24', '40000')","128.650,00 €",24 Monate,"22.792,54 €","2.078,63 €",40.000 km,"72.679,66 €"
"BMW iX M70 xDrive - Option ('24', '45000')","128.650,00 €",24 Monate,"22.792,54 €","2.231,30 €",45.000 km,"76.343,74 €"
"BMW iX M70 xDrive - Option ('24', '50000')","128.650,00 €",24 Monate,"22.792,54 €","2.383,97 €",50.000 km,"80.007,82 €"
"BMW iX M70 xDrive - Option ('24', '55000')","128.650,00 €",24 Monate,"22.792,54 €","2.485,74 €",55.000 km,"82.450,30 €"
"BMW iX M70 xDrive - Option ('24', '60000')","128.650,00 €",24 Monate,"22.792,54 €","2.587,52 €",60.000 km,"84.893,02 €"
"BMW iX M70 xDrive - Option ('24', '65000')","128.650,00 €",24 Monate,"22.792,54 €","2.689,30 €",65.000 km,"87.335,74 €"
"BMW iX M70 xDrive - Option ('24', '70000')","128.650,00 €",24 Monate,"22.792,54 €","2.740,19 €",70.000 km,"88.557,10 €"
"BMW iX M70 xDrive - Option ('24', '75000')","128.650,00 €",24 Monate,"22.792,54 €","2.841,97 €",75.000 km,"90.999,82 €"
"BMW iX M70 xDrive - Option ('24', '80000')","128.650,00 €",24 Monate,"22.792,54 €","2.892,86 €",80.000 km,"92.221,18 €"
"BMW iX M70 xDrive - Option ('27', '5000')","128.650,00 €",27 Monate,"22.792,54 €","1.447,05 €",5.000 km,"61.862,89 €"
"BMW iX M70 xDrive - Option ('27', '10000')","128.650,00 €",27 Monate,"22.792,54 €","1.537,46 €",10.000 km,"64.303,96 €"
"BMW iX M70 xDrive - Option ('27', '15000')","128.650,00 €",27 Monate,"22.792,54 €","1.582,66 €",15.000 km,"65.524,36 €"
"BMW iX M70 xDrive - Option ('27', '20000')","128.650,00 €",27 Monate,"22.792,54 €","1.627,86 €",20.000 km,"66.744,76 €"
"BMW iX M70 xDrive - Option ('27', '25000')","128.650,00 €",27 Monate,"22.792,54 €","1.673,06 €",25.000 km,"67.965,16 €"
"BMW iX M70 xDrive - Option ('27', '30000')","128.650,00 €",27 Monate,"22.792,54 €","1.763,46 €",30.000 km,"70.405,96 €"
