Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW iX1 xDrive30 - Option ('24', '5000')","58.590,00 €",24 Monate,"12.981,97 €","481,78 €",5.000 km,"24.544,69 €"
"BMW iX1 xDrive30 - Option ('24', '10000')","58.590,00 €",24 Monate,"12.981,97 €","528,52 €",10.000 km,"25.666,45 €"
"BMW iX1 xDrive30 - Option ('24', '15000')","58.590,00 €",24 Monate,"12.981,97 €","551,89 €",15.000 km,"26.227,33 €"
"BMW iX1 xDrive30 - Option ('24', '20000')","58.590,00 €",24 Monate,"12.981,97 €","598,62 €",20.000 km,"27.348,85 €"
"BMW iX1 xDrive30 - Option ('24', '25000')","58.590,00 €",24 Monate,"12.981,97 €","645,35 €",25.000 km,"28.470,37 €"
"BMW iX1 xDrive30 - Option ('24', '30000')","58.590,00 €",24 Monate,"12.981,97 €","715,46 €",30.000 km,"30.153,01 €"
"BMW iX1 xDrive30 - Option ('24', '35000')","58.590,00 €",24 Monate,"12.981,97 €","762,19 €",35.000 km,"31.274,53 €"
"BMW iX1 xDrive30 - Option ('24', '40000')","58.590,00 €",24 Monate,"12.981,97 €","808,93 €",40.000 km,"32.396,29 €"
"BMW iX1 xDrive30 - Option ('24', '45000')","58.590,00 €",24 Monate,"12.981,97 €","902,40 €",45.000 km,"34.639,57 €"
"BMW iX1 xDrive30 - Option ('24', '50000')","58.590,00 €",24 Monate,"12.981,97 €","995,86 €",50.000 km,"36.882,61 €"
"BMW iX1 xDrive30 - Option ('24', '55000')","58.590,00 €",24 Monate,"12.981,97 €","1.042,60 €",55.000 km,"38.004,37 €"
"BMW iX1 xDrive30 - Option ('24', '60000')","58.590,00 €",24 Monate,"12.981,97 €","1.112,70 €",60.000 km,"39.686,77 €"
"BMW iX1 xDrive30 - Option ('24', '65000')","58.590,00 €",24 Monate,"12.981,97 €","1.159,44 €",65.000 km,"40.808,53 €"
"BMW iX1 xDrive30 - Option ('24', '70000')","58.590,00 €",24 Monate,"12.981,97 €","1.182,80 €",70.000 km,"41.369,17 €"
"BMW iX1 xDrive30 - Option ('24', '75000')","58.590,00 €",24 Monate,"12.981,97 €","1.229,54 €",75.000 km,"42.490,93 €"
"BMW iX1 xDrive30 - Option ('24', '80000')","58.590,00 €",24 Monate,"12.981,97 €","1.276,27 €",80.000 km,"43.612,45 €"
