Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW iX2 eDrive20 - Option ('24', '5000')","53.250,00 €",24 Monate,"12.156,70 €","461,48 €",5.000 km,"23.232,22 €"
"BMW iX2 eDrive20 - Option ('24', '10000')","53.250,00 €",24 Monate,"12.156,70 €","503,69 €",10.000 km,"24.245,26 €"
"BMW iX2 eDrive20 - Option ('24', '15000')","53.250,00 €",24 Monate,"12.156,70 €","524,80 €",15.000 km,"24.751,90 €"
"BMW iX2 eDrive20 - Option ('24', '20000')","53.250,00 €",24 Monate,"12.156,70 €","567,02 €",20.000 km,"25.765,18 €"
"BMW iX2 eDrive20 - Option ('24', '25000')","53.250,00 €",24 Monate,"12.156,70 €","609,23 €",25.000 km,"26.778,22 €"
"BMW iX2 eDrive20 - Option ('24', '30000')","53.250,00 €",24 Monate,"12.156,70 €","672,56 €",30.000 km,"28.298,14 €"
"BMW iX2 eDrive20 - Option ('24', '35000')","53.250,00 €",24 Monate,"12.156,70 €","714,78 €",35.000 km,"29.311,42 €"
"BMW iX2 eDrive20 - Option ('24', '40000')","53.250,00 €",24 Monate,"12.156,70 €","756,99 €",40.000 km,"30.324,46 €"
"BMW iX2 eDrive20 - Option ('24', '45000')","53.250,00 €",24 Monate,"12.156,70 €","841,43 €",45.000 km,"32.351,02 €"
"BMW iX2 eDrive20 - Option ('24', '50000')","53.250,00 €",24 Monate,"12.156,70 €","925,86 €",50.000 km,"34.377,34 €"
"BMW iX2 eDrive20 - Option ('24', '55000')","53.250,00 €",24 Monate,"12.156,70 €","968,08 €",55.000 km,"35.390,62 €"
"BMW iX2 eDrive20 - Option ('24', '60000')","53.250,00 €",24 Monate,"12.156,70 €","1.031,40 €",60.000 km,"36.910,30 €"
"BMW iX2 eDrive20 - Option ('24', '65000')","53.250,00 €",24 Monate,"12.156,70 €","1.073,62 €",65.000 km,"37.923,58 €"
"BMW iX2 eDrive20 - Option ('24', '70000')","53.250,00 €",24 Monate,"12.156,70 €","1.094,73 €",70.000 km,"38.430,22 €"
"BMW iX2 eDrive20 - Option ('24', '75000')","53.250,00 €",24 Monate,"12.156,70 €","1.136,94 €",75.000 km,"39.443,26 €"
"BMW iX2 eDrive20 - Option ('24', '80000')","53.250,00 €",24 Monate,"12.156,70 €","1.179,16 €",80.000 km,"40.456,54 €"
"BMW iX2 eDrive20 - Option ('27', '5000')","53.250,00 €",27 Monate,"12.156,70 €","455,73 €",5.000 km,"24.461,41 €"
"BMW iX2 eDrive20 - Option ('27', '10000')","53.250,00 €",27 Monate,"12.156,70 €","493,15 €",10.000 km,"25.471,75 €"
