Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"i5 M60 xDrive Limousine - Option ('24', '5000')","101.770,00 €",24 Monate,"25.200,17 €","859,64 €",5.000 km,"45.831,53 €"
"i5 M60 xDrive Limousine - Option ('24', '10000')","101.770,00 €",24 Monate,"25.200,17 €","939,99 €",10.000 km,"47.759,93 €"
"i5 M60 xDrive Limousine - Option ('24', '15000')","101.770,00 €",24 Monate,"25.200,17 €","980,16 €",15.000 km,"48.724,01 €"
"i5 M60 xDrive Limousine - Option ('24', '20000')","101.770,00 €",24 Monate,"25.200,17 €","1.020,33 €",20.000 km,"49.688,09 €"
"i5 M60 xDrive Limousine - Option ('24', '25000')","101.770,00 €",24 Monate,"25.200,17 €","1.060,50 €",25.000 km,"50.652,17 €"
"i5 M60 xDrive Limousine - Option ('24', '30000')","101.770,00 €",24 Monate,"25.200,17 €","1.140,85 €",30.000 km,"52.580,57 €"
"i5 M60 xDrive Limousine - Option ('24', '35000')","101.770,00 €",24 Monate,"25.200,17 €","1.221,19 €",35.000 km,"54.508,73 €"
"i5 M60 xDrive Limousine - Option ('24', '40000')","101.770,00 €",24 Monate,"25.200,17 €","1.301,53 €",40.000 km,"56.436,89 €"
"i5 M60 xDrive Limousine - Option ('24', '45000')","101.770,00 €",24 Monate,"25.200,17 €","1.422,05 €",45.000 km,"59.329,37 €"
"i5 M60 xDrive Limousine - Option ('24', '50000')","101.770,00 €",24 Monate,"25.200,17 €","1.542,57 €",50.000 km,"62.221,85 €"
"i5 M60 xDrive Limousine - Option ('24', '55000')","101.770,00 €",24 Monate,"25.200,17 €","1.622,91 €",55.000 km,"64.150,01 €"
"i5 M60 xDrive Limousine - Option ('24', '60000')","101.770,00 €",24 Monate,"25.200,17 €","1.703,25 €",60.000 km,"66.078,17 €"
"i5 M60 xDrive Limousine - Option ('24', '65000')","101.770,00 €",24 Monate,"25.200,17 €","1.783,60 €",65.000 km,"68.006,57 €"
"i5 M60 xDrive Limousine - Option ('24', '70000')","101.770,00 €",24 Monate,"25.200,17 €","1.823,77 €",70.000 km,"68.970,65 €"
"i5 M60 xDrive Limousine - Option ('24', '75000')","101.770,00 €",24 Monate,"25.200,17 €","1.904,12 €",75.000 km,"70.899,05 €"
"i5 M60 xDrive Limousine - Option ('24', '80000')","101.770,00 €",24 Monate,"25.200,17 €","1.944,29 €",80.000 km,"71.863,13 €"
"i5 M60 xDrive Limousine - Option ('27', '5000')","101.770,00 €",27 Monate,"25.200,17 €","858,75 €",5.000 km,"48.386,42 €"
"i5 M60 xDrive Limousine - Option ('27', '10000')","101.770,00 €",27 Monate,"25.200,17 €","929,84 €",10.000 km,"50.305,85 €"
"i5 M60 xDrive Limousine - Option ('27', '15000')","101.770,00 €",27 Monate,"25.200,17 €","965,39 €",15.000 km,"51.265,70 €"
"i5 M60 xDrive Limousine - Option ('27', '20000')","101.770,00 €",27 Monate,"25.200,17 €","1.000,93 €",20.000 km,"52.225,28 €"
"i5 M60 xDrive Limousine - Option ('27', '25000')","101.770,00 €",27 Monate,"25.200,17 €","1.036,48 €",25.000 km,"53.185,13 €"
"i5 M60 xDrive Limousine - Option ('27', '30000')","101.770,00 €",27 Monate,"25.200,17 €","1.107,57 €",30.000 km,"55.104,56 €"
"i5 M60 xDrive Limousine - Option ('27', '35000')","101.770,00 €",27 Monate,"25.200,17 €","1.214,21 €",35.000 km,"57.983,84 €"
"i5 M60 xDrive Limousine - Option ('27', '40000')","101.770,00 €",27 Monate,"25.200,17 €","1.320,85 €",40.000 km,"60.863,12 €"
"i5 M60 xDrive Limousine - Option ('27', '45000')","101.770,00 €",27 Monate,"25.200,17 €","1.427,49 €",45.000 km,"63.742,40 €"
"i5 M60 xDrive Limousine - Option ('27', '50000')","101.770,00 €",27 Monate,"25.200,17 €","1.498,59 €",50.000 km,"65.662,10 €"
"i5 M60 xDrive Limousine - Option ('27', '55000')","101.770,00 €",27 Monate,"25.200,17 €","1.569,68 €",55.000 km,"67.581,53 €"
"i5 M60 xDrive Limousine - Option ('27', '60000')","101.770,00 €",27 Monate,"25.200,17 €","1.640,77 €",60.000 km,"69.500,96 €"
"i5 M60 xDrive Limousine - Option ('27', '65000')","101.770,00 €",27 Monate,"25.200,17 €","1.711,87 €",65.000 km,"71.420,66 €"
"i5 M60 xDrive Limousine - Option ('27', '70000')","101.770,00 €",27 Monate,"25.200,17 €","1.782,96 €",70.000 km,"73.340,09 €"
"i5 M60 xDrive Limousine - Option ('27', '75000')","101.770,00 €",27 Monate,"25.200,17 €","1.818,51 €",75.000 km,"74.299,94 €"
"i5 M60 xDrive Limousine - Option ('27', '80000')","101.770,00 €",27 Monate,"25.200,17 €","1.889,60 €",80.000 km,"76.219,37 €"
"i5 M60 xDrive Limousine - Option ('30', '5000')","101.770,00 €",30 Monate,"25.200,17 €","865,08 €",5.000 km,"51.152,57 €"
"i5 M60 xDrive Limousine - Option ('30', '10000')","101.770,00 €",30 Monate,"25.200,17 €","928,66 €",10.000 km,"53.059,97 €"
"i5 M60 xDrive Limousine - Option ('30', '15000')","101.770,00 €",30 Monate,"25.200,17 €","960,44 €",15.000 km,"54.013,37 €"
"i5 M60 xDrive Limousine - Option ('30', '20000')","101.770,00 €",30 Monate,"25.200,17 €","992,23 €",20.000 km,"54.967,07 €"
"i5 M60 xDrive Limousine - Option ('30', '25000')","101.770,00 €",30 Monate,"25.200,17 €","1.055,81 €",25.000 km,"56.874,47 €"
"i5 M60 xDrive Limousine - Option ('30', '30000')","101.770,00 €",30 Monate,"25.200,17 €","1.119,39 €",30.000 km,"58.781,87 €"
"i5 M60 xDrive Limousine - Option ('30', '35000')","101.770,00 €",30 Monate,"25.200,17 €","1.214,76 €",35.000 km,"61.642,97 €"
"i5 M60 xDrive Limousine - Option ('30', '40000')","101.770,00 €",30 Monate,"25.200,17 €","1.341,92 €",40.000 km,"65.457,77 €"
"i5 M60 xDrive Limousine - Option ('30', '45000')","101.770,00 €",30 Monate,"25.200,17 €","1.405,50 €",45.000 km,"67.365,17 €"
"i5 M60 xDrive Limousine - Option ('30', '50000')","101.770,00 €",30 Monate,"25.200,17 €","1.469,08 €",50.000 km,"69.272,57 €"
"i5 M60 xDrive Limousine - Option ('30', '55000')","101.770,00 €",30 Monate,"25.200,17 €","1.532,66 €",55.000 km,"71.179,97 €"
"i5 M60 xDrive Limousine - Option ('30', '60000')","101.770,00 €",30 Monate,"25.200,17 €","1.596,24 €",60.000 km,"73.087,37 €"
"i5 M60 xDrive Limousine - Option ('30', '65000')","101.770,00 €",30 Monate,"25.200,17 €","1.659,81 €",65.000 km,"74.994,47 €"
"i5 M60 xDrive Limousine - Option ('30', '70000')","101.770,00 €",30 Monate,"25.200,17 €","1.723,39 €",70.000 km,"76.901,87 €"
"i5 M60 xDrive Limousine - Option ('30', '75000')","101.770,00 €",30 Monate,"25.200,17 €","1.755,18 €",75.000 km,"77.855,57 €"
"i5 M60 xDrive Limousine - Option ('30', '80000')","101.770,00 €",30 Monate,"25.200,17 €","1.818,76 €",80.000 km,"79.762,97 €"
"i5 M60 xDrive Limousine - Option ('33', '5000')","101.770,00 €",33 Monate,"25.200,17 €","869,53 €",5.000 km,"53.894,66 €"
"i5 M60 xDrive Limousine - Option ('33', '10000')","101.770,00 €",33 Monate,"25.200,17 €","926,97 €",10.000 km,"55.790,18 €"
"i5 M60 xDrive Limousine - Option ('33', '15000')","101.770,00 €",33 Monate,"25.200,17 €","955,68 €",15.000 km,"56.737,61 €"
