"card-compact__title","card-compact__description","card-compact-review href","wowscore-pill","card-compact-review__text","media-slider__pages","media-slider__image src","media-slider__image src 2","media-slider__image src 3","badge","tile-button href","tile-button__title","div","tile-button href 2","tile-button__title 2","div 2","google-ad","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"Opel Mokka","Popular compact SUV on a new platform","https://www.carwow.de/opel/mokka","8/10","Opel Mokka review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=mokka-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=mokka-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=mokka-2020&filter%5Bsize%5D=medium","Average savings €6,201","https://angebote.carwow.de/buying/car-configurator/trim?make=opel&model=mokka-2020","New Opel Mokka offers","From €22,415","https://www.carwow.de/opel/mokka/leasing","Opel Mokka leasing offers","Leasing from 94 € / month","","","",""
"Leapmotor T03","","https://www.carwow.de/leapmotor/t03","7/10","Leapmotor T03 review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=leapmotor&filter%5Bmodel_review_slug%5D=t03-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=leapmotor&filter%5Bmodel_review_slug%5D=t03-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=leapmotor&filter%5Bmodel_review_slug%5D=t03-2024&filter%5Bsize%5D=medium","Average savings €661","https://angebote.carwow.de/buying/car-configurator/trim?make=leapmotor&model=t03-2024","New Leapmotor T03 offers","From 19,334 €","https://www.carwow.de/leapmotor/t03/leasing","Leapmotor T03 leasing offers","Leasing from 94 € / month","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-0e16f9a8ff65410141240ae1f6ee2826"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-0e16f9a8ff65410141240ae1f6ee2826"", true);
  });",".google-ad#div-gpt-0e16f9a8ff65410141240ae1f6ee2826 {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-0e16f9a8ff65410141240ae1f6ee2826 {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-0e16f9a8ff65410141240ae1f6ee2826 {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-0e16f9a8ff65410141240ae1f6ee2826 {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-0e16f9a8ff65410141240ae1f6ee2826 {
      min-height: 270px;
    }
  }"
"Opel Corsa","A classic in the small car class","https://www.carwow.de/opel/corsa","7/10","Opel Corsa review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=corsa&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=corsa&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=corsa&filter%5Bsize%5D=medium","Average savings €5,174","https://angebote.carwow.de/buying/car-configurator/trim?make=opel&model=corsa","New Opel Corsa offers","From 19,248 €","https://www.carwow.de/opel/corsa/leasing","Opel Corsa leasing offers","Leasing from 88 € / month","","","",""
"Skoda Fabia","Affordable small car as an everyday companion","https://www.carwow.de/skoda/fabia","9/10","Skoda Fabia review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=fabia-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=fabia-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=fabia-2021&filter%5Bsize%5D=medium","Average savings €6,367","https://angebote.carwow.de/buying/car-configurator/trim?make=skoda&model=fabia-2021","New Skoda Fabia offers","From 15,937 €","https://www.carwow.de/skoda/fabia/leasing","Skoda Fabia leasing offers","Leasing from 108 € / month","","","",""
"Dacia Spring","Mini SUV with a robust look","https://www.carwow.de/dacia/spring","6/10","Dacia Spring review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=spring-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=spring-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=spring-2024&filter%5Bsize%5D=medium","Average savings €4,165","https://angebote.carwow.de/buying/car-configurator/trim?make=dacia&model=spring-2024","New Dacia Spring offers","From 13,225 €","https://www.carwow.de/dacia/spring/leasing","Dacia Spring leasing offers","Leasing from 113 € / month","","","",""
"Volkswagen T-Roc","Golf SUV with more space","https://www.carwow.de/volkswagen/t-roc","8/10","Volkswagen T-Roc review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=t-roc&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=t-roc&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=t-roc&filter%5Bsize%5D=medium","Average savings €7,894","https://angebote.carwow.de/buying/car-configurator/trim?make=volkswagen&model=t-roc","New Volkswagen T-Roc offers","From €23,784","https://www.carwow.de/volkswagen/t-roc/leasing","Volkswagen T-Roc leasing offers","Leasing from 119 € / month","","","",""
"Fiat 500 Electric","Italian lightness meets modern technology","https://www.carwow.de/fiat/500-elektro","8/10","Fiat 500 Electric review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=fiat&filter%5Bmodel_review_slug%5D=500-elektro-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=fiat&filter%5Bmodel_review_slug%5D=500-elektro-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=fiat&filter%5Bmodel_review_slug%5D=500-elektro-2020&filter%5Bsize%5D=medium","Average savings €5,423","https://angebote.carwow.de/buying/car-configurator/trim?make=fiat&model=500-elektro-2020","New Fiat 500 Electric offers","From €25,919","https://www.carwow.de/fiat/500-elektro/leasing","Fiat 500 Electric Leasing Offers","Leasing from 119 € / month","","","",""
"Dacia Sandero","Affordable all-rounder","https://www.carwow.de/dacia/sandero","7/10","Dacia Sandero review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=sandero-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=sandero-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=sandero-2020&filter%5Bsize%5D=medium","","https://angebote.carwow.de/buying/car-configurator/trim?make=dacia&model=sandero-2020","New Dacia Sandero offers","From 12,980 €","https://www.carwow.de/dacia/sandero/leasing","Dacia Sandero leasing offers","Leasing from 120 € / month","","","",""
"SEAT Ibiza","With more space and comfort in the footsteps of the Leon","https://www.carwow.de/seat/ibiza","8/10","SEAT Ibiza review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=ibiza&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=ibiza&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=ibiza&filter%5Bsize%5D=medium","Average savings €4,619","https://angebote.carwow.de/buying/car-configurator/trim?make=seat&model=ibiza","New SEAT Ibiza offers","From 16,477 €","https://www.carwow.de/seat/ibiza/leasing","SEAT Ibiza leasing offers","Leasing from 138 € / month","","","",""
