Category,Content
Innenausstattung,"Vollleder, Schwarz, 2-Zonen-Klimaautomatik, Elektr. Fensterheber, Zentralverriegelung, Servolenkung, Elektr. Seitenspiegel, Elektr. Heckklappe, Schlüssellose Zentralverriegelung, Armlehne, Ambiente-Beleuchtung, Innenspiegel autom. abblendend"
Lenkrad,Multifunktions
Räder & Fahrwerk,"ALL_WHEEL, Leichtmetallfelgen, Reifendruckkontrolle, Sommerreifen"
Multimedia,"Radio DAB, Tuner/Radio, Soundsystem, Freisprecheinrichtung, Navigationssystem, Bluetooth, USB, Touchscreen, Apple CarPlay, Android Auto, Induktionsladen für Smartphones, Musikstreaming integriert"
Assistenzsysteme,"Abstandstempomat, Sprachsteuerung, Berganfahrassistent, Notbremsassistent, Spurhalteassistent, Totwinkel-Assistent, Müdigkeitswarner, Verkehrszeichenerkennung, Geschwindigkeitsbegrenzer, Fernlichtassistent, Volldigitales Kombiinstrument, Head-Up Display, Bordcomputer"
Einparkhilfe,"360°-Kamera, Vorne, Hinten"
Sitze,"Sitzheizung, Elektr."
Extras,"Garantie, Scheckheftgepflegt, Nichtraucher-Fahrzeug"
Sicherheit & Umwelt,"Euro6d, 4 (Grün), ABS, ESP, Traktionskontrolle, Allradantrieb, Regensensor, Elektr. Wegfahrsperre, Start/Stopp-Automatik, Alarmanlage, HU neu, Notrufsystem, Isofix"
Licht & Scheinwerfer,"LED-Scheinwerfer, Kurvenlicht, Lichtsensor"
Airbags,"Santa Fe Hybrid Modelljahr 2025 Intro, 5-"
lenkrad,"Außenfarbe Schwarz Metallic
Farbname Abyss Black
====================
Verbrauch & Umwelt
Verbr. kombiniert4 7 l/100km
Verbr. City4 7,7 l/100km
Verbr. Vorstadt4 5,6 l/100km
Verbr. Landstraße4 5,8 l/100km
Verbr. Autobahn4 8,4 l/100km
====================
Emissionen
CO2-Emission 158 g/km
CO2-Klasse F
Schadstoffklasse Euro6d
Feinstaubplakette 4 (Grün)
====================
Kosten Modell
KFZ Steuer 174,00 €/Jahr
Mögliche CO₂-Kosten der nächsten 10 Jahre (15.000 km/Jahr). Drei Kalkulationen auf Basis der folgenden Preisschätzungen:
Niedrig 50,00 € /t → 1.185,00 €
Mittel 115,00 € /t → 2.725,50 €
Hoch 190,00 €/t → 4.503,00 €
Energiekosten bei 15.000 km/Jahr, basierend auf einem geschätzten Kraftstoffpreis von 1,92 €/l:
2.016,00 €"
