date,website,model,full price,leasing price
2025-04-07 07:39:42.421932,https://www.hyundai.com/de/de/modelle.html,Der neue INSTER,23.900  EUR,199  EUR
2025-04-07 07:39:42.567471,https://www.hyundai.com/de/de/modelle.html,KONA Elektro,37.990  EUR,229  EUR
2025-04-07 07:39:42.673840,https://www.hyundai.com/de/de/modelle.html,IONIQ 5,43.900  EUR,269  EUR
2025-04-07 07:39:42.783971,https://www.hyundai.com/de/de/modelle.html,IONIQ 6,43.900  EUR,259  EUR
2025-04-07 07:39:42.825365,https://www.hyundai.com/de/de/modelle.html,Der neue IONIQ 9,N/A,N/A
2025-04-07 07:39:42.945388,https://www.hyundai.com/de/de/modelle.html,IONIQ 5 N,74.900  EUR,499  EUR
2025-04-07 07:39:43.084281,https://www.hyundai.com/de/de/modelle.html,TUCSON Plug-in-Hybrid,44.690  EUR,279  EUR
2025-04-07 07:39:43.231766,https://www.hyundai.com/de/de/modelle.html,SANTA FE Plug-in-Hybrid,64.150  EUR,549  EUR
2025-04-07 07:39:43.342972,https://www.hyundai.com/de/de/modelle.html,KONA Hybrid,32.950  EUR,219  EUR
2025-04-07 07:39:43.521951,https://www.hyundai.com/de/de/modelle.html,TUCSON Hybrid,40.740  EUR,249  EUR
2025-04-07 07:39:43.667236,https://www.hyundai.com/de/de/modelle.html,SANTA FE Hybrid,57.200  EUR,449  EUR
2025-04-07 07:39:43.747994,https://www.hyundai.com/de/de/modelle.html,STARIA Hybrid 9-Sitzer,49.500  EUR,N/A
2025-04-07 07:39:43.831194,https://www.hyundai.com/de/de/modelle.html,STARIA Hybrid 7-Sitzer,58.950  EUR,N/A
2025-04-07 07:39:43.868339,https://www.hyundai.com/de/de/modelle.html,NEXO,N/A,N/A
2025-04-07 07:39:43.989384,https://www.hyundai.com/de/de/modelle.html,i10,16.990  EUR,159  EUR
2025-04-07 07:39:44.182839,https://www.hyundai.com/de/de/modelle.html,i20,20.300  EUR,169  EUR
2025-04-07 07:39:44.327273,https://www.hyundai.com/de/de/modelle.html,i30,27.990  EUR,199  EUR
2025-04-07 07:39:44.441652,https://www.hyundai.com/de/de/modelle.html,i30 Kombi,28.990  EUR,219  EUR
2025-04-07 07:39:44.574104,https://www.hyundai.com/de/de/modelle.html,BAYON,23.400  EUR,219  EUR
2025-04-07 07:39:44.755413,https://www.hyundai.com/de/de/modelle.html,KONA,26.900  EUR,179  EUR
2025-04-07 07:39:44.913059,https://www.hyundai.com/de/de/modelle.html,TUCSON,35.740  EUR,199  EUR
2025-04-07 07:39:45.084480,https://www.hyundai.com/de/de/modelle.html,IONIQ 5 N,74.900  EUR,499  EUR
